PtID C4HHHC4_Q00 C4HHHC4_Q10 C4HHHC4_Q20 HC4HHC4_Q00 HC4HHC4_Q10 HC4HHC4_Q11s HC4HHC4_Q20 HC4HHC4_Q21s HC4HHC4_Q22c aiESP
Pt:-5.480208_0.755883_-0.755897_ethane 0.235546123034 -0.00893393037318 0.00345823460462 0.709555515898 -0.00762762366141 -0.0420694731203 -0.00472976809793 -0.00292185834486 -0.00924893931519 -0.00118387
Pt:-5.480208_0.755883_-0.000007_ethane 0.236227171476 -0.00906717760497 0.00351685500262 0.711582633742 -0.00780127205615 -0.0426416203078 -0.00480818260718 -0.00291463147699 -0.00942875243638 -0.0012022
Pt:-5.480208_0.755883_0.755883_ethane 0.234889695125 -0.00876237090631 0.00338140087107 0.707644479744 -0.00735440178813 -0.0413575560071 -0.00460875570698 -0.00295670426196 -0.00902376578567 -0.001157
Pt:-5.480208_0.755883_1.511773_ethane 0.231642776181 -0.00807342583221 0.00307980665325 0.697995726427 -0.00643489913916 -0.0383908279732 -0.00418402712647 -0.00299338236473 -0.00810423296313 -0.00105936
Pt:-5.480208_0.755883_2.267663_ethane 0.226735032751 -0.00711385969467 0.00266907448693 0.683291164137 -0.00527227788404 -0.0341560849296 -0.00361492955447 -0.00295512633043 -0.00684537190375 -0.000926919
Pt:-5.480208_1.511773_-2.267677_ethane 0.225970977887 -0.0070508740516 0.00264482990589 0.680998440649 -0.0051831224764 -0.0338650202506 -0.00356185116091 -0.00294455808189 -0.00679091191648 -0.000914751
Pt:-5.480208_1.511773_-1.511787_ethane 0.230211974036 -0.00784500787324 0.00298293455271 0.693707205362 -0.00615358483617 -0.0373792776154 -0.00404377512572 -0.00298212043859 -0.00781561322435 -0.00102654
Pt:-5.480208_1.511773_-0.755897_ethane 0.232757015455 -0.00834535740558 0.00319945455033 0.701342231981 -0.00673238836361 -0.0395796067396 -0.00431731499193 -0.00300153592462 -0.00849721075576 -0.00109139
Pt:-5.480208_1.511773_-0.000007_ethane 0.233412240981 -0.00846695808902 0.0032521368205 0.703348236131 -0.00681042646474 -0.0401340816233 -0.00435207247214 -0.00303030048438 -0.00868542123519 -0.00110147
Pt:-5.480208_1.511773_0.755883_ethane 0.232125916002 -0.0081873526714 0.00312972752205 0.699547869938 -0.00640399428834 -0.0389386536792 -0.00416218765749 -0.00305641231166 -0.00832246314784 -0.00105885
Pt:-5.480208_1.511773_1.511773_ethane 0.228999967667 -0.00755482883956 0.0028567576446 0.690189049779 -0.00563859327329 -0.036158255318 -0.00379483477203 -0.00303807804585 -0.00747402208275 -0.000973308
Pt:-5.480208_2.267663_-0.755897_ethane 0.228230033077 -0.00744889601711 0.00281282246824 0.687955791249 -0.00538588690485 -0.0357171372739 -0.00366312299299 -0.00307118235963 -0.00738936503768 -0.00094617
Pt:-5.480208_2.267663_-0.000007_ethane 0.228844944878 -0.00755338082003 0.00285700425857 0.689907311275 -0.00534576987151 -0.0362309902521 -0.00364143469636 -0.00313864574486 -0.00757963498306 -0.000945874
Pt:-5.480208_2.267663_0.755883_ethane 0.227638444173 -0.00731096794536 0.00275335639651 0.68633871369 -0.00497834519785 -0.0351768136332 -0.00345740914826 -0.00315074757916 -0.00728453159659 -0.000905622
Pt:-4.724318_-3.779457_-1.511787_ethane 0.228467357724 -0.0055939781537 0.00199286876645 0.688427969112 -0.00366031909164 -0.0274886055929 -0.00289338703556 -0.00292764346343 -0.00447599325775 -0.000752301
Pt:-4.724318_-3.779457_-0.755897_ethane 0.230923889723 -0.00596385388415 0.00213919780892 0.695876289896 -0.00403657554114 -0.0292149718963 -0.00311877786525 -0.00302167179837 -0.00488995313473 -0.000805553
Pt:-4.724318_-3.779457_-0.000007_ethane 0.231556444663 -0.00605217190526 0.00217405108139 0.698021045958 -0.00376775036333 -0.0297084975242 -0.00298369674874 -0.00315225207267 -0.00509493697989 -0.000785642
Pt:-4.724318_-3.779457_0.755883_ethane 0.230317009708 -0.00584258386465 0.00209013535702 0.694667361683 -0.0029120095942 -0.0288726570837 -0.00251442628508 -0.00328994127623 -0.00504139955314 -0.000697446
Pt:-4.724318_-3.023567_-2.267677_ethane 0.232654954254 -0.00627212844706 0.00226355712092 0.701570412134 -0.00365206810259 -0.0308027786789 -0.00293094047062 -0.00330390738794 -0.00546976344774 -0.000784391
Pt:-4.724318_-3.023567_-1.511787_ethane 0.237273612384 -0.00705242699915 0.00258053091313 0.715258741317 -0.00493229781931 -0.0342896561147 -0.00363771761475 -0.00331882275129 -0.00627135472397 -0.000935486
Pt:-4.724318_-3.023567_-0.755897_ethane 0.240052618366 -0.00754733709973 0.00278484294108 0.72356590773 -0.00560626076618 -0.0365075069309 -0.0039993311644 -0.003349846433 -0.0068462672717 -0.00101641
Pt:-4.724318_-3.023567_-0.000007_ethane 0.240769181992 -0.00766726014676 0.00283434297645 0.72592219709 -0.00543640841006 -0.0371383244777 -0.00391652083378 -0.00347415774304 -0.0070943990337 -0.00100574
Pt:-4.724318_-3.023567_0.755883_ethane 0.239363624905 -0.00738844037751 0.00271777763854 0.722102486511 -0.00446820459489 -0.0360554484111 -0.00341116331907 -0.0036642031809 -0.00694903445433 -0.000907552
Pt:-4.724318_-3.023567_1.511773_ethane 0.235953361135 -0.00676219962326 0.00245983110975 0.712283831696 -0.00301528408915 -0.033371453991 -0.00262130309438 -0.00379691036755 -0.00640608144887 -0.000749701
Pt:-4.724318_-3.023567_2.267663_ethane 0.230805540295 -0.0058958168431 0.00211053490955 0.697067658459 -0.00149888230883 -0.0294456604842 -0.00174745270162 -0.00374312804811 -0.0055452543953 -0.000570943
Pt:-4.724318_-2.267677_-3.023567_ethane 0.233139058862 -0.0063675351851 0.00230247447082 0.703672256614 -0.0027472536308 -0.0314798908226 -0.00244943122121 -0.00363790296717 -0.00590104891505 -0.0007055
Pt:-4.724318_-2.267677_-2.267677_ethane 0.239874058041 -0.00754649695298 0.0027855848511 0.723609102918 -0.00469351626343 -0.0367506384191 -0.00352518932284 -0.00366329426224 -0.00715547101134 -0.000932247
Pt:-4.724318_-2.267677_-1.511787_ethane 0.244984786953 -0.00853402320628 0.00320179755386 0.738599838793 -0.00643737082893 -0.0410184066009 -0.00442593087402 -0.00355148409318 -0.00824188026651 -0.00112398
Pt:-4.724318_-2.267677_-0.755897_ethane 0.248072289298 -0.009165877082 0.00347330022672 0.747674232005 -0.00747421900003 -0.0437218096846 -0.00493558143448 -0.00347042252514 -0.0089933768704 -0.00123552
Pt:-4.724318_-2.267677_-0.000007_ethane 0.248869454347 -0.00932077292428 0.00353998778744 0.75018728411 -0.00746919824934 -0.0444694252319 -0.0049317518786 -0.00355229051215 -0.00927092311434 -0.0012393
Pt:-4.724318_-2.267677_0.755883_ethane 0.247304369804 -0.00896614785596 0.0033855570701 0.745892871227 -0.00644094219446 -0.0431101925291 -0.00442927217813 -0.00378142599011 -0.0089927988747 -0.00113775
Pt:-4.724318_-2.267677_1.511773_ethane 0.243518562972 -0.00817165495644 0.00304536622551 0.735007922672 -0.00475443060993 -0.0397905884146 -0.0035734797826 -0.00399785248789 -0.00817324974902 -0.000961482
Pt:-4.724318_-2.267677_2.267663_ethane 0.237831342131 -0.00708145621306 0.00259008758734 0.718238969379 -0.00292352492637 -0.0349673799565 -0.00258533064137 -0.00401846349284 -0.00694659829395 -0.000754862
Pt:-4.724318_-2.267677_3.023553_ethane 0.230667187 -0.00586305326502 0.00209714960887 0.696707963162 -0.00136798929502 -0.0293126371452 -0.00167370448825 -0.00376256919818 -0.00553331823114 -0.000557579
Pt:-4.724318_-1.511787_-3.779457_ethane 0.229845048684 -0.00584907544822 0.00209518444117 0.694160571625 -0.00145708941171 -0.0292053876929 -0.00171060086661 -0.00371234086988 -0.00552220107748 -0.000562108
Pt:-4.724318_-1.511787_-3.023567_ethane 0.238309921218 -0.00727346073667 0.00267277174642 0.719465112514 -0.00348137143773 -0.0357443306597 -0.00287852028799 -0.00392714999747 -0.00711160133842 -0.000810656
Pt:-4.724318_-1.511787_-2.267677_ethane 0.2455585058 -0.00867157272974 0.00326135226625 0.740814169418 -0.00583064778817 -0.0418682941444 -0.00411556584837 -0.00385167443161 -0.00870466544277 -0.0010721
Pt:-4.724318_-1.511787_-1.511787_ethane 0.251085133465 -0.00985348805271 0.0037750071311 0.756875821293 -0.00800105505522 -0.0468247898149 -0.00517033760333 -0.00359407314363 -0.01007527358 -0.00129746
Pt:-4.724318_-1.511787_-0.755897_ethane 0.254435167337 -0.0106151159736 0.00411339140274 0.766566192189 -0.00939141172069 -0.0499442531017 -0.00580528215472 -0.00337691220556 -0.0109945286848 -0.00143595
Pt:-4.724318_-1.511787_-0.000007_ethane 0.255301107755 -0.0108034293657 0.00419736481736 0.769173887554 -0.0095824443678 -0.0507691397826 -0.00588732148894 -0.00338672621917 -0.0112812013882 -0.00145618
Pt:-4.724318_-1.511787_0.755883_ethane 0.253599813694 -0.0103769374558 0.00400518924694 0.764441929162 -0.00855895844805 -0.049134131045 -0.0054249392766 -0.00362736519021 -0.0108441415672 -0.00135871
Pt:-4.724318_-1.511787_1.511773_ethane 0.249494934076 -0.0094237555769 0.00358362042763 0.75263550303 -0.00671144437441 -0.0452283404552 -0.00455689571926 -0.00391566422889 -0.00972848552464 -0.0011739
Pt:-4.724318_-1.511787_2.267663_ethane 0.243353099826 -0.0081247284357 0.00302501202398 0.734564724075 -0.00461695253679 -0.0396053431365 -0.00350337923289 -0.00402438534203 -0.00813455110577 -0.000947846
Pt:-4.724318_-1.511787_3.023553_ethane 0.235655909163 -0.006686393773 0.0024281376137 0.711491544948 -0.00276294617514 -0.0330644880286 -0.0024846089026 -0.00383712768799 -0.00635899625653 -0.000723994
Pt:-4.724318_-0.755897_-3.779457_ethane 0.23283269075 -0.00633353806682 0.00228926735762 0.703171703629 -0.00203328437791 -0.0314762265073 -0.0020569476141 -0.00383838687656 -0.0060801694227 -0.000637953
Pt:-4.724318_-0.755897_-3.023567_ethane 0.241673889613 -0.0079102417027 0.00293853612958 0.729563335441 -0.00427198828985 -0.0386379286139 -0.00330797314014 -0.0040127742838 -0.00791987858704 -0.000905896
Pt:-4.724318_-0.755897_-2.267677_ethane 0.249273145158 -0.00946893235375 0.0036068090825 0.751883317137 -0.00687759319402 -0.0453682612884 -0.00462675035744 -0.00385705945622 -0.00978106764426 -0.00118706
Pt:-4.724318_-0.755897_-1.511787_ethane 0.255085833055 -0.0107947640388 0.00419512861432 0.768691492348 -0.00931459800194 -0.0508205995156 -0.00575482480907 -0.00349308082209 -0.0113838157674 -0.00143047
Pt:-4.724318_-0.755897_-0.755897_ethane 0.25861738937 -0.0116532100918 0.00458529277341 0.778808594418 -0.0109377894686 -0.054236317096 -0.00645556431784 -0.0031730542617 -0.0124392005432 -0.00158438
Pt:-4.724318_-0.755897_-0.000007_ethane 0.259530982769 -0.0118666031639 0.00468274931643 0.781464017258 -0.0112874063543 -0.0551004662695 -0.00660118797901 -0.00311391208659 -0.0127229286886 -0.00161741
Pt:-4.724318_-0.755897_0.755883_ethane 0.257735272527 -0.0113864606324 0.00446131016897 0.776394638107 -0.0103231144866 -0.0532403633627 -0.0061977314582 -0.00333616074595 -0.0121383963549 -0.00152901
Pt:-4.724318_-0.755897_1.511773_ethane 0.253410054468 -0.0103152917112 0.00397701148975 0.763916211326 -0.0084294208798 -0.0488918432829 -0.00536779911785 -0.00365501212255 -0.0107694870832 -0.00134665
Pt:-4.724318_-0.755897_2.267663_ethane 0.246956210259 -0.00886226604906 0.00333964101886 0.744932103001 -0.00619647416465 -0.0426939844379 -0.00431137653018 -0.00382688973718 -0.00888312304531 -0.00111376
Pt:-4.724318_-0.755897_3.023553_ethane 0.238896061845 -0.007263490033 0.00266470056826 0.72081339545 -0.0041405134875 -0.0355407936309 -0.00324042788865 -0.00371268435944 -0.00683921383218 -0.000873962
Pt:-4.724318_-0.755897_3.779443_ethane 0.229769060335 -0.00571403336213 0.00203776055073 0.693153371431 -0.00254133080212 -0.0283253707759 -0.00230943956631 -0.00332848332657 -0.00495196351422 -0.00065822
Pt:-4.724318_-0.000007_-3.779457_ethane 0.233972161325 -0.00652666577675 0.00236741041578 0.706357853122 -0.00265997168606 -0.0322803276647 -0.00240822837366 -0.00375722026101 -0.00618193018531 -0.000704142
Pt:-4.724318_-0.000007_-3.023567_ethane 0.242960454922 -0.00816525255797 0.00304624886049 0.733193876818 -0.00494589152248 -0.0396810519504 -0.00366085486025 -0.00390784466269 -0.00812898730645 -0.00097578
Pt:-4.724318_-0.000007_-2.267677_ethane 0.250697440726 -0.00978960656082 0.00374768826482 0.755944873623 -0.00756828317761 -0.0466666606211 -0.00495782905093 -0.00373772843303 -0.0101251620733 -0.00125631
Pt:-4.724318_-0.000007_-1.511787_ethane 0.25662295006 -0.011174619751 0.0043673209025 0.77311251948 -0.0100051616068 -0.052349411167 -0.00605540686376 -0.0033679176717 -0.011862401021 -0.00149648
Pt:-4.724318_-0.000007_-0.755897_ethane 0.260226312369 -0.0120730468814 0.00477932447142 0.783449262023 -0.0116399608925 -0.0559141408711 -0.00673994002996 -0.00303969991463 -0.0130072026548 -0.00164868
Pt:-4.724318_-0.000007_-0.000007_ethane 0.261158778578 -0.0122968301181 0.00488249107437 0.786131712996 -0.0120387851652 -0.0567978770032 -0.00690264496961 -0.00295738485273 -0.0132950908201 -0.00168538
Pt:-4.724318_-0.000007_0.755883_ethane 0.259325665918 -0.0117945241165 0.00464869905638 0.78088722068 -0.0111613624178 -0.0548189666748 -0.00655251170615 -0.00314226356708 -0.0126218839712 -0.00160658
Pt:-4.724318_-0.000007_1.511773_ethane 0.254913349642 -0.0106747225973 0.00413800505828 0.768073015643 -0.00935962471937 -0.0502521190517 -0.00579438794443 -0.00342832733317 -0.0111055513259 -0.00143579
Pt:-4.724318_-0.000007_2.267663_ethane 0.248336601087 -0.00915850456087 0.00346769726044 0.748663823508 -0.00717829559573 -0.0437982209811 -0.00479771515437 -0.00359395867148 -0.00906567082724 -0.00121061
Pt:-4.724318_-0.000007_3.023553_ethane 0.240134116809 -0.00749427679922 0.00276037206162 0.724098987542 -0.00510544100688 -0.0364015719273 -0.00374897902772 -0.00350628248473 -0.00690082228366 -0.000970889
Pt:-4.724318_-0.000007_3.779443_ethane 0.230859898662 -0.00588585209494 0.00210592132255 0.696016398694 -0.00342362036768 -0.028979387155 -0.0027959368212 -0.00316949922752 -0.00493715910705 -0.000747629
Pt:-4.724318_0.755883_-3.779457_ethane 0.233174547802 -0.00639414625799 0.00231381398277 0.703537654009 -0.00316403528803 -0.0315080060155 -0.00267370456545 -0.00351982797415 -0.00581715612585 -0.000744469
Pt:-4.724318_0.755883_-3.023567_ethane 0.242059826227 -0.00798981423964 0.00297216506098 0.730135016418 -0.00529062047498 -0.0387271167744 -0.0038379025404 -0.00368590873327 -0.00770832253317 -0.00100157
Pt:-4.724318_0.755883_-2.267677_ethane 0.249700333915 -0.00956855429407 0.00365058193478 0.75273663176 -0.00765367898641 -0.0455775800557 -0.00500766085974 -0.00359083026516 -0.00967949721429 -0.0012596
Pt:-4.724318_0.755883_-1.511787_ethane 0.255546796952 -0.0109124057316 0.0042484467829 0.769844669604 -0.00979026239614 -0.0511921490636 -0.00597220108295 -0.00333855482091 -0.0114280453305 -0.00147459
Pt:-4.724318_0.755883_-0.755897_ethane 0.259099841289 -0.011783002948 0.00464525348005 0.78018090626 -0.0111830531612 -0.0547433746343 -0.00655689325912 -0.00311881519612 -0.0126034258866 -0.00160689
Pt:-4.724318_0.755883_-0.000007_ethane 0.260019080424 -0.0119995520669 0.00474444523074 0.782882297485 -0.0114902593535 -0.0556376810018 -0.00668146688928 -0.00307939991538 -0.0129125834688 -0.00163589
Pt:-4.724318_0.755883_0.755883_ethane 0.258212177277 -0.011512680041 0.0045192525365 0.777660625993 -0.0107030521398 -0.0536797451592 -0.00636406970644 -0.00322139633467 -0.0122389338305 -0.00156397
Pt:-4.724318_0.755883_1.511773_ethane 0.253860889721 -0.0104267247719 0.00402692080119 0.764893988291 -0.00912521316909 -0.0491618792335 -0.00569620218368 -0.00341011223036 -0.0107164777904 -0.00141121
Pt:-4.724318_0.755883_2.267663_ethane 0.247370244329 -0.00895444238331 0.00337949925182 0.74559331719 -0.00720571836403 -0.0428092519784 -0.00481467067476 -0.00348037873809 -0.00868969142545 -0.00120791
Pt:-4.724318_0.755883_3.023553_ethane 0.239267455684 -0.00733565796054 0.00269463956499 0.72121757045 -0.00534597530204 -0.0355662550063 -0.00386848598993 -0.0033393988054 -0.00656579126767 -0.000986768
Pt:-4.724318_0.755883_3.779443_ethane 0.23009633004 -0.00576810279653 0.00205923439582 0.693394408086 -0.00378789424607 -0.0283237933694 -0.00298115507561 -0.00299701788598 -0.00466079629151 -0.000774993
Pt:-4.724318_1.511773_-3.779457_ethane 0.230502277842 -0.00595985812849 0.00213946826016 0.695016643764 -0.00338493893906 -0.0293280919089 -0.00276762453283 -0.00320442588203 -0.00509739669266 -0.000744372
Pt:-4.724318_1.511773_-3.023567_ethane 0.23904912652 -0.00741787680134 0.00273284387947 0.720732046385 -0.00516142968581 -0.0359914140051 -0.00376263414591 -0.00342758858106 -0.00679717486714 -0.000969639
Pt:-4.724318_1.511773_-2.267677_ethane 0.246373928643 -0.00885121682837 0.00333883756646 0.742622225162 -0.00703556233045 -0.0423462458307 -0.00471905730917 -0.00347798489911 -0.00859978780538 -0.00118649
Pt:-4.724318_1.511773_-1.511787_ethane 0.251962608777 -0.0100645413497 0.00386870121493 0.759247330098 -0.00863773550534 -0.0475997553248 -0.00546953803855 -0.00342943929952 -0.0102361390286 -0.00135878
Pt:-4.724318_1.511773_-0.755897_ethane 0.255351961354 -0.0108472239452 0.00421827514077 0.769346009788 -0.00959571405646 -0.0509631927572 -0.00588710940609 -0.00339632201805 -0.0113711381095 -0.00145706
Pt:-4.724318_1.511773_-0.000007_ethane 0.256228215327 -0.0110409818596 0.00430515523453 0.772043077757 -0.00970116777089 -0.0518455004836 -0.00592693020695 -0.00344594601822 -0.0117065382995 -0.00146927
