PtID C2O1O1_Q00 C2O1O1_Q10 C2O1O1_Q20 O1C2O1_Q00 O1C2O1_Q10 O1C2O1_Q20 aiESP
Pt:-2.834592_-0.377951_0.377939_co2 0.139351667858 0.0193888630957 0.00269351225805 0.309260438798 -0.0299610360754 0.00950385745042 -0.0102258
Pt:-2.834592_-0.377951_1.133829_co2 0.138586262124 0.0190711277416 0.00260576861081 0.306568584959 -0.0286537978641 0.00891740939235 -0.00961148
Pt:-2.834592_-0.377951_1.889719_co2 0.137091284048 0.018460580935 0.00244057802858 0.301425556117 -0.0262636867253 0.00788087116662 -0.00850089
Pt:-2.834592_-0.377951_2.645609_co2 0.134936244679 0.0176036080111 0.00221637049816 0.294260051393 -0.0231621642269 0.00660600781189 -0.00709766
Pt:-2.834592_0.377939_-2.645621_co2 0.134966877476 0.0176155996781 0.00221944560634 0.294359969285 -0.0232036280167 0.00662251948894 -0.00711608
Pt:-2.834592_0.377939_-1.889731_co2 0.137125924574 0.0184745784512 0.00244431465091 0.30154307262 -0.0263167479214 0.00790337638637 -0.00852533
Pt:-2.834592_0.377939_-1.133841_co2 0.138624648138 0.0190869792558 0.00261011733883 0.30670261345 -0.0287179620858 0.0089458744512 -0.00964156
Pt:-2.834592_0.377939_-0.377951_co2 0.139393336592 0.0194062611863 0.00269835172539 0.30940816907 -0.0300339140229 0.00953695380286 -0.0102601
Pt:-2.834592_0.377939_0.377939_co2 0.139394658152 0.0194068131522 0.00269850531994 0.309412856496 -0.0300362283579 0.00953800551421 -0.0102612
Pt:-2.834592_0.377939_1.133829_co2 0.1386285477 0.0190885900721 0.00261055942168 0.306716234817 -0.0287244885131 0.00894877161597 -0.0096446
Pt:-2.834592_0.377939_1.889719_co2 0.137132215484 0.0184771212359 0.00244499370024 0.301564422481 -0.0263263955522 0.00790747079083 -0.00852975
Pt:-2.834592_0.377939_2.645609_co2 0.134975275459 0.0176188881454 0.0022202892016 0.294387371207 -0.0232150079223 0.00662705373104 -0.00712111
Pt:-2.834592_1.133829_-2.645621_co2 0.1343083938 0.0173590237451 0.0021540381483 0.292223892364 -0.0223279913418 0.00627692485394 -0.00672982
Pt:-2.834592_1.133829_-1.889731_co2 0.13643549434 0.0181969221637 0.00237064026578 0.299215105722 -0.0252789510594 0.00746742206015 -0.00804994
Pt:-2.834592_1.133829_-1.133841_co2 0.137911449503 0.0187938951815 0.0025302015443 0.304228761134 -0.0275490882422 0.0084325450331 -0.00909572
Pt:-2.834592_1.133829_-0.377951_co2 0.13866826988 0.0191050035246 0.00261506581403 0.306855046061 -0.0287910541343 0.00897834053029 -0.00967581
Pt:-2.834592_1.133829_0.377939_co2 0.138669570924 0.0191055412835 0.0026152135131 0.306859594469 -0.0287932370304 0.00897931079186 -0.00967683
Pt:-2.834592_1.133829_1.133829_co2 0.137915289185 0.0187954649841 0.00253062682497 0.304241988229 -0.0275552514584 0.00843522267022 -0.00909857
Pt:-2.834592_1.133829_1.889719_co2 0.136441690699 0.0181994015722 0.00237129400138 0.299235865989 -0.0252880823543 0.00747121906007 -0.00805408
Pt:-2.834592_1.133829_2.645609_co2 0.134316669458 0.0173622327667 0.00215485116974 0.292250586457 -0.0223387948833 0.00628114900301 -0.00673453
Pt:-2.834592_1.889719_-1.889731_co2 0.135046227855 0.0176466878943 0.00222742604623 0.29461904513 -0.0233113708261 0.00666549276297 -0.00716394
