PtID C4HHFC4_Q00 C4HHFC4_Q10 C4HHFC4_Q11s C4HHFC4_Q20 C4HHFC4_Q21s C4HHFC4_Q22c C4HHHC4_Q00 C4HHHC4_Q10 C4HHHC4_Q20 FC4HHC4_Q00 FC4HHC4_Q10 FC4HHC4_Q11s FC4HHC4_Q20 FC4HHC4_Q21s FC4HHC4_Q22c HC4FC4H_Q00 HC4FC4H_Q10 HC4FC4H_Q11c HC4FC4H_Q11s HC4FC4H_Q20 HC4FC4H_Q21c HC4FC4H_Q21s HC4FC4H_Q22c HC4FC4H_Q22s HC4HHC4_Q00 HC4HHC4_Q10 HC4HHC4_Q11s HC4HHC4_Q20 HC4HHC4_Q21s HC4HHC4_Q22c aiESP
Pt:-5.291235_-2.456649_-0.566924_fluoroethane 0.131193051656 -0.0113409674777 0.0119543602044 0.000341530576102 -0.0017898895639 -0.000780198496691 0.0963825591474 0.00906160147589 0.000830239618902 0.132896743704 -0.0023374697305 -0.0167261650508 -0.00111191159095 0.000509552176741 -0.00164909095864 0.28519755478 0.00779255097088 0.0311534759382 0.0221353489831 -0.0019650738221 0.00176884245663 0.000779134289868 0.00146884905601 0.00408483646162 0.266825308879 -0.0116672105151 0.0201067938192 -0.000255721486993 -0.00148748743714 -0.00128562995266 -0.00140154
Pt:-5.291235_-2.456649_0.188966_fluoroethane 0.131768047687 -0.0125794618022 0.0112878405271 0.000657447379138 -0.00186648043493 -0.000733513973204 0.0966093515298 0.00913629724884 0.000845177220385 0.130170703609 -0.00344290409125 -0.0161421133852 -0.000966240205938 0.00073949066041 -0.00163581339671 0.289122606038 0.00886796936698 0.0300975400291 0.0259363133006 -0.00218331265414 0.00179189180483 0.00121654532005 0.000708897837827 0.0046182554658 0.267310143648 -0.0117643401407 0.0202134548978 -0.000253610689809 -0.00150909663457 -0.00130048255556 -0.000510912
Pt:-5.291235_-2.456649_0.944856_fluoroethane 0.131045598098 -0.0134445983882 0.0102922862302 0.00094379937678 -0.00182893335013 -0.000645720236498 0.0963230243445 0.00906578864663 0.000833040535129 0.126434919088 -0.0042969937769 -0.0151805988877 -0.000791525700802 0.000893608358373 -0.00153307094156 0.289835519217 0.00983017131311 0.0279810453286 0.0289053521161 -0.00229893897704 0.00174362556349 0.00161859899585 -0.000151070059108 0.00480723187835 0.266642471756 -0.0116585553999 0.0200890451321 -0.000251771273283 -0.0014838958855 -0.00128909320387 0.000313912
Pt:-5.291235_-1.700759_-1.322814_fluoroethane 0.1326150382 -0.00973370015145 0.0138301779298 -9.44800913585e-05 -0.00175822148903 -0.00109709478427 0.0969576928093 0.00920066115685 0.000853885652995 0.141092807845 1.79337839536e-05 -0.0190405690484 -0.00140437657202 -4.19186809416e-06 -0.00201811408789 0.282737314426 0.00452067586478 0.0339323263132 0.0177174796751 -0.00223790295134 0.00120532157327 0.000236646280207 0.00257027040288 0.00357039272286 0.268195644814 -0.0118518678278 0.0203734616369 -0.000254124512608 -0.0015264329817 -0.00132239636116 -0.0034134
Pt:-5.291235_-1.700759_-0.566924_fluoroethane 0.134580485948 -0.0113328613375 0.0135759423496 0.000212735358839 -0.00198010442963 -0.00108754704992 0.0977173849673 0.00942957607213 0.000898372818367 0.1393645889 -0.00151224052807 -0.0188700910521 -0.00132878966465 0.000354652526478 -0.00209548428142 0.290083672174 0.00575551337773 0.03427568468 0.0220061859054 -0.00253692754319 0.00136247262713 0.000598484499085 0.00207226781252 0.00443593920737 0.269867284921 -0.0121643415513 0.0207211774826 -0.000251000695471 -0.00159852943114 -0.00136530165259 -0.00240538
Pt:-5.291235_-1.700759_0.188966_fluoroethane 0.135201395321 -0.0126665077031 0.0128741893908 0.000544314484057 -0.00208908561659 -0.00101073361859 0.0979537544472 0.00950919547756 0.000914776373206 0.136230395672 -0.00284112432104 -0.0181117062164 -0.00117525222767 0.000654238672884 -0.00203244044878 0.294462272673 0.00705573179882 0.0333992899816 0.0259082660945 -0.00274180657083 0.00148557345142 0.000997729698963 0.00131452040876 0.00505847215885 0.270366306726 -0.0122690098991 0.0208315016257 -0.000248634530126 -0.00162252174287 -0.00138041955733 -0.00137037
Pt:-5.291235_-1.700759_0.944856_fluoroethane 0.134421327114 -0.0136043494879 0.0117774325093 0.000850842836535 -0.00206452835942 -0.00087620926743 0.097655343816 0.0094334776967 0.000901258461942 0.131965540041 -0.00388117132336 -0.0169054342578 -0.000977862858379 0.000861170675879 -0.00185963228788 0.295504054381 0.00837319017474 0.031326679379 0.0289713135457 -0.00279592147004 0.00157159860109 0.00139669188999 0.000419118034838 0.00531027188408 0.269673933323 -0.0121589478585 0.0206982663022 -0.000247834971425 -0.00159636219497 -0.00136623995927 -0.000392738
Pt:-5.291235_-1.700759_1.700746_fluoroethane 0.132310972048 -0.0140758461403 0.0103967707229 0.00108804857426 -0.00191574519524 -0.000705908103052 0.0968365937771 0.00920884133169 0.000859561600602 0.126893871893 -0.00460523900063 -0.0154232893991 -0.000770925674579 0.000969503005656 -0.00162217170445 0.293143396206 0.00962765059011 0.0282669921556 0.0308696498514 -0.00266720609376 0.00161098922254 0.0017538213459 -0.000454470484768 0.00515501957092 0.267814880089 -0.0118440073228 0.020327817093 -0.000248303515451 -0.00152323895585 -0.0013232435095 0.000466372
Pt:-5.291235_-0.944869_-2.078704_fluoroethane 0.131411634431 -0.00754448107078 0.0148999518514 -0.000484969948617 -0.00148163438634 -0.00133594243024 0.0964996674144 0.00904709818611 0.000822972536812 0.147231580005 0.00321913642438 -0.0205276807278 -0.00149020271479 -0.00077738994881 -0.00225421748294 0.274205164956 0.00129032994322 0.0341756108423 0.0126874006057 -0.0022358396405 0.000479340345772 -0.000108836519803 0.00317474840796 0.00263658173231 0.267235555502 -0.0116400499884 0.020161681127 -0.000256476298944 -0.00147693578973 -0.00129676146717 -0.00558464
Pt:-5.291235_-0.944869_-1.322814_fluoroethane 0.134698323985 -0.00928781822769 0.0151654962591 -0.000261328103702 -0.00181120983968 -0.00139553663751 0.0977783517159 0.00942249153593 0.00089459910526 0.147055025603 0.00141060951425 -0.0210656181895 -0.00156974906007 -0.000349994946255 -0.00248439753806 0.284220059914 0.00237468029642 0.0358524657834 0.0167834917896 -0.00260110328526 0.000663482729108 0.000107249264116 0.00306254121293 0.00360172861918 0.270076238912 -0.0121546111591 0.0207473275051 -0.000252325639875 -0.00159481939081 -0.00136896358008 -0.00463808
